Comuna;Sector/Provincia;Circunscripción;Provincia;Distrito
Alhué;Melipilla;7° Poniente;Melipilla;31
Buin;Maipo;7° Poniente;Maipo;30
Calera de Tango;Maipo;7° Metropolitana;Maipo;14
Cerrillos;Surponiente;7° Metropolitana ;Santiago;8
Cerro Navia;Norponiente;7° Metropolitana ;Santiago;9
Colina;Chacabuco;7° Poniente;Chacabuco;8
Conchalí;Norte;7° Poniente;Santiago;17
Curacaví;Melipilla;Circunscripción Senatorial Región Metropolitana;Melipilla;14
El Bosque;Sur;Santiago Oriente;Santiago;27
El Monte;Talagante;7° Poniente;Talagante;31
Estación Central;Surponiente;7° Poniente;Santiago;8
Huechuraba;Norte;;Santiago;9
Independencia;Norte;7° Poniente;Santiago;9
Isla de Maipo;Talagante;7° Poniente;Talagante;31
La Cisterna;Sur;8° Oriente;Santiago;27
La Florida;Suroriente;7° Metropolitana;Santiago;12
La Granja;Sur;8° Oriente;Santiago;10
La Pintana;Sur;7° Metropolitana;Santiago;12
La Reina;Nororiente;8° Oriente;Santiago;24
Lampa;Chacabuco;7° Poniente;Chacabuco;8
Las Condes;Nororiente;8° Oriente;Santiago;11
Lo Barnechea;Nororiente;8° Santiago Este;Santiago;11
Lo Espejo;Sur;8° Oriente;Santiago;28
Lo Prado;Norponiente;;Santiago;
Macul;Suroriente;7° Metropolitana;Santiago;10
Maipú;Surponiente;7° Poniente;Santiago;8
María Pinto;Melipilla;7° Poniente;Melipilla;31
Melipilla;Melipilla;7° Metropolitana;Melipilla;14
Ñuñoa;Nororiente;8° Oriente;Santiago;10
Padre Hurtado;Surponiente;7° Metropolitana;Talagante;14
Paine;Maipo;7° Poniente;Maipo;30
Pedro Aguirre Cerda;Sur;8° Oriente;Santiago;28
Peñaflor;Talagante;7ª Circunscripción Senatorial;Talagante;14
Peñalolén;Suroriente;7° Metropolitana;Santiago;11
Pirque;Cordillera;8° Oriente;Cordillera;29
Providencia;Nororiente;;Santiago;
Pudahuel;Norponiente;7° Poniente;Santiago;8
Puente Alto X;Cordillera;7° Metropolitana;Cordillera;12
Quilicura;Norte;7° Poniente;Santiago;8
Quinta Normal;Norponiente;7° Metropolitana;Santiago;9
Recoleta;Norte;7° Poniente;Santiago;9
Renca;Norponiente;7° Poniente;Santiago;17
San Bernardo;Maipo;;Maipo;30
San Joaquín;Sur;8° Oriente;Santiago;10
San José de Maipo;Cordillera;8° Oriente;Cordillera;29
San Miguel;Sur;8° Oriente;Santiago;28
San Pedro;Melipilla;7° Poniente;Melipilla;31
San Ramón;Sur;8° Oriente;Santiago;27
Santiago;Centro;;Santiago;
Talagante;Talagante;7° Poniente;Talagante;31
Til til;Chacabuco;7° Poniente;Chacabuco;8
Vitacura;Nororiente;8° Oriente;Santiago;11
