"Comuna","Codigo_Aviso","N_Habitaciones","N_Baños","N_Estacionamientos","Amoblado","Total_Superficie_M2","Valor_UF","Dirección","tipoPublicacion","Quién_Vende","Corredor","UF/m2","Frecuencia","Tasa.cada.100Mil","Rango"
"Alhué",5274043,4,4,2,"No",200,11500,"Alhué, Alhué, Región Metropolitana","Venta Usada","                      Ximena Torres Zapata                  ","Ximena Torres Gestión Inmobiliaria",57.5,24,318.5,"medio"
"Buin",6493789,3,1,2.44301994301994,"No",125,2678.01,"Buin, (amm-56792) bajos de matte/(amm) la obra","Venta Usada","                      Propiedades Centro Santiago SPA                  ","Propiedades Centro Santiago SPA",21.42,487,435.1,"medio"
"Buin",5555350,3,2,2,"No",5000,13800,"Buin, Buin, Región Metropolitana","Venta Usada","                      La Cumbre Propiedades                  ","La Cumbre Propiedades",2.76,487,435.1,"medio"
"Buin",3138823,4,4,1,"No",458,7900,"Buin, Simon Reyes/Villaseca","Venta Usada","                      Felipe Acosta Propiedades                  ","Procasa Felipe Acosta Propiedades",17.25,487,435.1,"medio"
"Buin",6553483,3,3,3,"No",120,5850,"Buin, Victor Troncoso Muñoz","Venta Usada","                      In House Bucó                  ","Unne",48.75,487,435.1,"medio"
"Buin",5935673,3,3,2,"No",250,6500,"Buin, Buin, Región Metropolitana","Venta Usada","                      La Cumbre Propiedades                  ","La Cumbre Propiedades",26,487,435.1,"medio"
"Buin",6216837,3,2,2.44301994301994,"No",0,6175,"Buin, Alto Jahuel, Buin","Venta Usada","                      Cecilia Bravo                  ","Tsi Property",Inf,487,435.1,"medio"
"Buin",5910529,5,4,2,"No",5000,15700,"Buin, Buin, Región Metropolitana","Venta Usada","                      La Cumbre Propiedades                  ","La Cumbre Propiedades",3.14,487,435.1,"medio"
"Buin",6671057,6,4,2.44301994301994,"No",5000,17000,"Buin, Camino Padre Hurtado con Av. Virginia Subercaseaux","Venta Usada","                      Schumacher Propiedades                  ","Schumacher Propiedades",3.4,487,435.1,"medio"
"Buin",5115641,5,2,2,"No",450,13265,"Buin, Buin, Región Metropolitana","Venta Usada","                      La Cumbre Propiedades                  ","La Cumbre Propiedades",29.48,487,435.1,"medio"
"Buin",6452461,4,1,2.44301994301994,"No",102,1795.84,"Buin, Villa josé miguel carrera-pje adan guzmán (am)/cerro alto jahuel (am)","Venta Usada","                      Propiedades Centro Santiago SPA                  ","Propiedades Centro Santiago SPA",17.61,487,435.1,"medio"
"Buin",6543804,4,2,1,"No",227,4773,"Buin, Buin, Región Metropolitana","Venta Usada","                      Ricardo Pardo                  ","Todo Propiedades",21.03,487,435.1,"medio"
"Buin",6452882,3,2,1,NA,155,3600,"Buin, Tulio Parra Pérez","Venta Usada","                      Alejandro Navarro                  ","Ambiento Propiedades",23.23,487,435.1,"medio"
"Buin",6808027,3,2,1,"No",110,2615,"Buin, pje ribera sur","Venta Usada","                      Lorena - Buin Valdivia                  ","Urbalia",23.77,487,435.1,"medio"
