FID,nombre,direccion,comuna,tipo
1,GOETHE INSTITUT,650 ESMERALDA,SANTIAGO,TEATRO Y SALA DE CONCIERTO
2,NOVEDADES,257 CUETO,SANTIAGO,TEATRO Y SALA DE CONCIERTO
3,CASA AMARILLA,1301 BALMACEDA,SANTIAGO,TEATRO Y SALA DE CONCIERTO
4,SALA MASTER,509 JOSE MIGUEL CLARO,PROVIDENCIA,TEATRO Y SALA DE CONCIERTO
5,TELETON,1531 MARIO KREUTZBERGER,SANTIAGO,TEATRO Y SALA DE CONCIERTO
6,SCD BELLAVISTA,110 STA FILOMENA,RECOLETA,TEATRO Y SALA DE CONCIERTO
7,SCD PLAZA VESPUCIO,7110 VICUNA MACKENNA ORIENTE,LA FLORIDA,TEATRO Y SALA DE CONCIERTO
8,ANFITEATRO MUNICIPAL DE PUDAHUEL,8444 SAN PABLO,PUDAHUEL,TEATRO Y SALA DE CONCIERTO
9,AUDITORIO DON BOSCO,2376 LIBER BERNARDO OHIGGINS,SANTIAGO,TEATRO Y SALA DE CONCIERTO
10,AULA MAGNA USACH,3659 ECUADOR,ESTACION CENTRAL,TEATRO Y SALA DE CONCIERTO
11,ARENA SANTIAGO,PARQUE OHIGGINS INTERIOR,SANTIAGO,TEATRO Y SALA DE CONCIERTO
12,MUSEO CHILENO DE ARTE PRECOLOMBINO,361 BANDERA,SANTIAGO,MUSEO
13,PALACIO LA ALHAMBRA (SNBA),1340 COMPANIA DE JESUS,SANTIAGO,GALERIA DE ARTE
14,GALERIA DE ARTE SAN FRANCISCO,816 LIBER BERNARDO OHIGGINS,SANTIAGO,GALERIA DE ARTE
15,INSTITUTO CHILENO NORTEAMERICANO,1467 MONEDA,SANTIAGO,GALERIA DE ARTE
16,ESPACIO ARTEABIERTO FUNDACION ITAU,3457 APOQUINDO,LAS CONDES,GALERIA DE ARTE
17,MNBA MALL PLAZA VESPUCIO,7110 VICUNA MACKENNA ORIENTE,LA FLORIDA,GALERIA DE ARTE
18,MNBA MALL PLAZA NORTE,1737 AMERICO VESPUCIO,HUECHURABA,GALERIA DE ARTE
19,GALERIA METROPOLITANA,2941 FELIX MENDELSOHN,PEDRO AGUIRRE CERDA,GALERIA DE ARTE
