FID,id,rbd,letra,numero,direcc_cal,direcc_num,of_piso,comuna,telefono,dependenci,precio,predio_m2,edificacio,directivos,profesores,administra,tecnicos,auxiliares,personal_t,pasetotal,paselibre,furgontota,furgonacre,sitios,matriculaj,almuerzoju,rinden_sim,rinden_paa,menosde5,de6a13,de14a17,masde18,fuente,prebasica,basica,media,superior,otra,privado,bespecial,bprebasica,bbasica,bh_c,bcomercial,bindustria,btecnica,bcft,bip,bu,badulto,botra,rbd_d,localidad,clase,coord_x,coord_y,provincial,layer,nombre,direccion,tipo
1, , , , , ,0, ,SANTIAGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , ,0,0, , ,NEMESIO ANTUNEZ,2185 WALDO SILVA,SALA CUNA
2, , , , , ,0, ,SANTIAGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , ,0,0, , ,PABLO NERUDA,2722 GRAL RONDIZZONI,SALA CUNA
3, , , , , ,0, ,SANTIAGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , ,0,0, , ,SOR TERESA DE LOS ANDES,1650 JUAN VICUNA,SALA CUNA
4, , , , , ,0, ,BUIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , ,0,0, , ,CENTRO DESARROLLO INFANTIL TEMPRANO,584 CLEMENTE DIAZ,SALA CUNA
5, , , , , ,0, ,BUIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , ,0,0, , ,GRANITOS DE ARENA,461 NUEVO BUIN,SALA CUNA
6, , , , , ,0, ,BUIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , ,0,0, , ,LAS PALMAS,245 SAN MARTIN,SALA CUNA
7, , , , , ,0, ,CONCHALI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , ,0,0, , ,CENTRO DESARROLLO INFANTIL TEMPRANO,GAMBINO CON ZAPADORES,SALA CUNA
8, , , , , ,0, ,CONCHALI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , ,0,0, , ,CENTRO DESARROLLO INFANTIL TEMPRANO,3586 MAR DE ANTILLAS,SALA CUNA
9, , , , , ,0, ,EL BOSQUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , ,0,0, , ,LAS PALMAS I,1134 AVIADORES,SALA CUNA
10, , , , , ,0, ,ESTACION CENTRAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , ,0,0, , ,CENTRO DE DESARROLLO INFANTIL TEMPRANO,604 AEROPUERTO,SALA CUNA
11, , , , , ,0, ,HUECHURABA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , ,0,0, , ,BETTEMBURGO,5858 PREMIO NOBEL,SALA CUNA
12, , , , , ,0, ,LA PINTANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , ,0,0, , ,EJERCITO DE SALVACION ARCA DE NOE,13682 EL FUNDADOR,SALA CUNA
13, , , , , ,0, ,LA PINTANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , ,0,0, , ,SANTO TOMAS,10580 REYES CATOLICOS,SALA CUNA
14, , , , , ,0, ,LO ESPEJO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , ,0,0, , ,CENTRO DESARROLLO INFANTIL TEMPRANO,8077 PIO XII,SALA CUNA
15, , , , , ,0, ,MACUL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , ,0,0, , ,SALA CUNA LICEO A 48,3130 LOS PLATANOS,SALA CUNA
