FID,id,rbd,nombre,letra,numero,direcc_cal,direcc_num,of_piso,direccion,comuna,telefono,dependenci,precio,predio_m2,edificacio,directivos,profesores,administra,tecnicos,auxiliares,personal_t,pasetotal,paselibre,furgontota,furgonacre,sitios,matriculaj,almuerzoju,rinden_sim,rinden_paa,menosde5,de6a13,de14a17,masde18,fuente,prebasica,basica,media,superior,otra,privado,bespecial,bprebasica,bbasica,bh_c,bcomercial,bindustria,btecnica,bcft,bip,bu,badulto,botra,rbd_d,localidad,clase,coord_x,coord_y,provincial,nombre_2,layer,tipo,dependen_1
1,491,10000111,131710,,,ANTONIO MACHADO,1900,0,1900 ANTONIO MACHADO,LA PINTANA,5435639,6,3000,1000,4.2,1,2,0,5,1,9,0,0,0,0,0,0,0,0,0,167,0,0,0,3,167,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10000111,SANTIAGO,PREBASICA,347442.72845,6285191.24464,PROVINCIAL CORDILLERA,,PREBASICA,ED PREBASICA,Municipales
2,492,9666 0,CELESTIN FREINET,,190,VENANCIA LEIVA,1949,1,1949 VENANCIA LEIVA,LA PINTANA,5411040,3,15000,0,0,3,11,1,0,2,17,0,7,0,0,0,358,100,0,0,25,326,0,0,1,25,326,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9666 0,SANTIAGO,BASICA,347705.76039,6285789.86846,PROVINCIAL CORDILLERA,CELESTIN FREINET,BASICA,ED BASICA,Particulares Subvencionados
3,493,24508 9,SAN JAVIER,,336,EL OLIVAR,2769,1,2769 EL OLIVAR,LA PINTANA,8521250,3,0,5000,0,2,31,5,0,3,41,0,0,6,6,0,2000,100,0,0,90,1144,0,0,1,90,1144,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,24508 9,SANTIAGO,BASICA,348779.19141,6279349.05,PROVINCIAL CORDILLERA,SAN JAVIER,BASICA,ED BASICA,Particulares Subvencionados
4,494,24403 1,MARCELO ASTORECA CORREA,,515,EL OMBU,2669,1,02669 EL OMBU,LA PINTANA,5421478,1,0,20000,0,4,44,5,0,4,57,0,1,3,0,0,950,100,0,14,114,1101,0,168,1,114,1183,86,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,24403 1,SANTIAGO,MEDIA,349217.67379,6281663.50919,PROVINCIAL CORDILLERA,MARCELO ASTORECA CORREA,MEDIA,ED MEDIA,Estatales
5,495,11979 2,MIGUEL ANGEL,,345,MIGUEL ANGEL,2561,1,02561 MIGUEL ANGEL,LA PINTANA,5421009,3,0,10000,9,1,17,1,0,2,21,0,0,4,0,0,700,65,0,0,125,585,0,0,1,125,585,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,11979 2,SANTIAGO,BASICA,349130.79465,6282411.17292,PROVINCIAL CORDILLERA,MIGUEL ANGEL,BASICA,ED BASICA,Particulares Subvencionados
6,496,12126 6,LAUTRARU,,352,MIGUEL ANGEL,2981,1,02981 MIGUEL ANGEL,LA PINTANA,5453926,3,0,150,1,2,11,2,0,4,19,0,0,2,2,2,0,0,0,0,0,210,0,0,1,0,0,0,0,210,0,1,0,0,0,0,0,0,0,0,0,0,0,12126 6,SANTIAGO,BASICA,349590.93201,6282494.43,PROVINCIAL CORDILLERA,LAUTRARU,BASICA,ED BASICA,Particulares Subvencionados
7,497,11800 1,LAS ROSAS,,325,ROSA ESTER,2650,1,02650 ROSA ESTER,LA PINTANA,5421036,3,20000,0,0,3,8,2,0,2,15,0,0,6,3,0,180,70,0,0,0,163,0,0,1,0,0,0,0,163,0,1,0,0,0,0,0,0,0,0,0,0,0,11800 1,SANTIAGO,BASICA,349280.64146,6282939.35394,PROVINCIAL CORDILLERA,LAS ROSAS,BASICA,ED BASICA,Particulares Subvencionados
8,498,9680 6,STA RITA DE CASIA NRO.1,,275,BATALLON CHACABUCO,2971,1,02971 BATALLON CHACABUCO,LA PINTANA,5423251,3,0,0,0,3,30,1,0,6,40,0,0,2,0,1,0,0,0,0,172,1492,0,0,1,172,1492,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9680 6,SANTIAGO,BASICA,349845.62891,6282056.925,PROVINCIAL CORDILLERA,STA RITA DE CASIA NRO.1,BASICA,ED BASICA,Particulares Subvencionados
9,499,11901 6,SAN MIGUEL DE NUEVA EXTREMADURA,,334,EL FUNDADOR,13657,1,13657 EL FUNDADOR,LA PINTANA,5424735,3,0,0,0,1,2,1,0,2,6,0,0,0,0,0,0,0,0,0,0,60,0,0,1,0,0,0,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,11901 6,SANTIAGO,BASICA,350399.46406,6282155.425,PROVINCIAL CORDILLERA,SAN MIGUEL DE NUEVA EXTREMADURA,BASICA,ED BASICA,Particulares Subvencionados
10,500,24711 1,LUMEN VIAE NRO.2,,1462,MIGUEL ANGEL,3481,1,3481 MIGUEL ANGEL,LA PINTANA,5421317,3,0,5200,3.12,1,9,0,0,2,12,0,0,2,0,0,360,25,0,0,68,260,0,0,1,68,260,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,24711 1,SANTIAGO,BASICA,350391.35461,6282637.71398,PROVINCIAL CORDILLERA,LUMEN VIAE NRO.2,BASICA,ED BASICA,Particulares Subvencionados
