FID,objectid_1,objectid,oid_,name,folderpath,popupinfo,longitud,Shape__Length
1,1,1,0,* IV Centenario (a),Ciclovías Santiago 2015 - 2016,Vereda / Ambos sentidos / Los Milagros a Los Pozos,1.25,1503.64552788079
2,2,2,0,* 5 de Abril / Esquina Blanca,Ciclovías Santiago 2015 - 2016/* 5 de Abril,Vereda y bandejón / Ambos sentidos / Primera Transversal a Concepción del Oro,1.63,1959.25300755313
3,3,3,0,* 5 de Abril / Parque por Simón Bolívar,Ciclovías Santiago 2015 - 2016/* 5 de Abril,Bandejón / Ambos sentidos / Vostok a Las Torres,3.31,3973.67057526703
4,4,4,0,* Alameda / Pajaritos,Ciclovías Santiago 2015 - 2016/* Alameda,Bandejón y Calle / Ambos sentidos / Teatinos a Escr. Jorge Inostroza,10.36,12416.4399774506
5,5,5,0,* Alberto Llona,Ciclovías Santiago 2015 - 2016,Vereda / Ambos sentidos / Vicente Reyes a 5 de Abril,1.31,1574.82727808937
6,6,6,0,* Almirante Blanco Encalada,Ciclovías Santiago 2015 - 2016,Calle / Ambos sentidos / Club Hípico a San Alfonso,0.93,1119.83585330614
7,7,7,0,* Antonio Varas,Ciclovías Santiago 2015 - 2016,Calle y Vereda / Ambos sentidos / Nueva Providencia a Irarrázaval,2.95,3541.50709650275
8,8,8,0,* Arzobispo Valdivieso,Ciclovías Santiago 2015 - 2016,Vereda / Ambos sentidos / Comandante Véliz a Ocho Norte,0.55,654.743383690333
9,9,9,0,* Brasil,Ciclovías Santiago 2015 - 2016,Calle / Ambos sentidos / Huérfanos a Mapocho,1.01,1218.62153117648
10,10,10,0,* Caletera Acceso Sur / La Serena / Cardenal Raúl Silva Henríquez / Américo Vespucio,Ciclovías Santiago 2015 - 2016/* Caletera Acceso Sur / La Serena / Cardenal Raúl Silva Henríquez,"Vereda, Calle y Bandejón / Ambos sentidos / Canal Torrente a Porvenir",5.73,6904.93603062718
11,11,11,0,* Callao,Ciclovías Santiago 2015 - 2016,Calle / Ambos sentidos / Alcántara a Sánchez Fontecilla,0.97,1159.1137776226
12,12,12,0,* Calle G,Ciclovías Santiago 2015 - 2016,Bandejón / Ambos sentidos / Juan Cristóbal a Juan Muñoz,1.58,1888.5249986084
13,13,13,0,* Camino a Melipilla / Pedro Aguirre Cerda,Ciclovías Santiago 2015 - 2016/* Camino a Melipilla,Calle y vereda / Ambos sentidos / Avenida Cuatro a Esquina Blanca,5.3,6360.49032903413
14,14,14,0,* Cardenal Raúl Silva Henríquez,Ciclovías Santiago 2015 - 2016,Vereda / Ambos sentidos / Jorge Quevedo a San Gregorio,0.39,473.589557244896
15,15,15,0,* Carlos Valdovinos,Ciclovías Santiago 2015 - 2016,Vereda / Ambos sentidos / Santa Rosa a Vicuña Mackenna,2.2,2637.83513948458
16,16,16,0,* Carmen / Las Industrias,Ciclovías Santiago 2015 - 2016/* Carmen,Vereda / Ambos sentidos / General Jofré a Comercio,5.55,6673.67662866422
