FID,codest,nomeste,codreg,nomreg,codss,nomss,codcom,nomcom,pertenen,tipoest,certifi,depend,nivel,viaacceso,direcc,longitud,latitud,cod_nuevo
1,01-011,PRAIS (S.S Arica),15,De Arica Parinacota,1,Servicio de Salud Arica,15101,Arica,Perteneciente,Programa de Reparacion y Atencion Integral de Salud,S/C,Servicio de Salud,No Aplica,Calle,Arturo Prat 305 Arica,-70.3206891837,-18.4776435209,101011
2,01-090,Oficina Sanitaria Chacalluta,15,De Arica Parinacota,1,Servicio de Salud Arica,15101,Arica,Perteneciente,Oficina Sanitaria,S/C,Autoridad Sanitaria,No Aplica,Calle,"Puesto Fronterizo, Chacalluta  S/N Arica",-70.3129276122,-18.3151626691,101090
3,01-300,CESFAM-Víctor Bertín Soto,15,De Arica Parinacota,1,Servicio de Salud Arica,15101,Arica,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Calle,Belén 1635 Arica,-70.2960281108,-18.4768443566,101300
4,01-302,CESFAM-Dr. Amador Neghme de Arica,15,De Arica Parinacota,1,Servicio de Salud Arica,15101,Arica,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Calle,Cancha Rayada 4149 Arica,-70.2905433131,-18.4376026272,101302
5,01-303,CESFAM-Iris Véliz Hume (Ex Oriente),15,De Arica Parinacota,1,Servicio de Salud Arica,15101,Arica,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Calle,Barros Luco 2699 Arica,-70.2824436462,-18.4838808045,101303
6,01-304,CESFAM-Putre,15,De Arica Parinacota,1,Servicio de Salud Arica,15201,Putre,Perteneciente,Consultorio General Rural,Centro de Salud Familiar,Municipal,Primario,Calle,Baquedano 261 Putre,-69.5573410572,-18.19761163,101304
7,01-305,CESFAM-Remigio Sapunar,15,De Arica Parinacota,1,Servicio de Salud Arica,15101,Arica,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Calle,Silva Arriagada 1020 Arica,-70.308176547,-18.4802288009,101305
8,01-306,Centro de Salud Ambiental de Arica,15,De Arica Parinacota,1,Servicio de Salud Arica,15101,Arica,Perteneciente,Consultorio General Urbano,S/C,Servicio de Salud,Primario,Calle,San Martín 253 Arica,-70.3168453807,-18.4834188017,101306
9,01-307,CESFAM-Eugenio Petruccelli Astudillo (ex Punta Norte),15,De Arica Parinacota,1,Servicio de Salud Arica,15101,Arica,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Avenida,Linderos Poniente  4752 Arica,-70.2905492694,-18.4268943787,101307
10,01-607,ESSMA Norte de Arica,15,De Arica Parinacota,1,Servicio de Salud Arica,15101,Arica,Perteneciente,Consultorio de Salud Mental,S/C,Servicio de Salud,Secundario,Calle,La Proveedora S/N Arica,-70.292653947,-18.4441923146,101607
